case,load_seconds_from,load_seconds_to,canonical_blocks,canonical_transactions,canonical_slots_per_second,whole_wall_ns_per_slot
declared_read,600,720,452,76081,81153.06666666667,12322.39323878498
declared_read,720,840,452,76064,81134.93333333333,12325.147244425747
declared_read,840,960,453,76300,81386.66666666667,12287.0249017038
declared_read,960,1080,452,75811,80865.06666666667,12366.279299837755
declared_read,1080,1200,452,75872,80930.13333333333,12356.3369886124
declared_write,600,720,0,0,0,
declared_write,720,840,70,9437,10066.133333333333,99343.0115502808
declared_write,840,960,0,0,0,
declared_write,960,1080,51,6808,7261.866666666667,137705.64042303173
declared_write,1080,1200,19,2601,2774.4,360438.2929642445
